Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 661900  Y 608100
X 611900  Y 608300
X 610500  Y 633000
X 589600  Y 608200
X 586600  Y 632400
X 560000  Y 629000
X 536700  Y 632200
X 533200  Y 613800
X 529000  Y 622600
X 524200  Y 602600
X 524100  Y 613900
X 501800  Y 615300
X 456900  Y 628300
X 442200  Y 606700
X 434100  Y 612600
X 434100  Y 600000
X 277400  Y 607100
X 257400  Y 634700
X 257400  Y 617700
X 247100  Y 617700
X 247000  Y 634700
X 216800  Y 623700
X 216700  Y 608600
X 216700  Y 594600
X 202700  Y 594400
X 197700  Y 613000
X 187900  Y 594400
X 182300  Y 608300
X 174200  Y 594400
X 168300  Y 613000
X 157100  Y 608100
X 147100  Y 613300
X 132500  Y 668300
X 147100  Y 668400
X 157300  Y 673800
X 168300  Y 668100
X 182500  Y 673800
X 197600  Y 668100
X 216700  Y 673800
X 217000  Y 640100
X 217200  Y 656000
X 265100  Y 675600
X 316400  Y 684600
X 403900  Y 679400
X 426900  Y 652700
X 449700  Y 643200
X 518400  Y 683900
X 536700  Y 642100
X 539500  Y 683800
X 558800  Y 642000
X 567000  Y 664300
X 587600  Y 664300
X 589400  Y 685600
X 611300  Y 685700
X 621700  Y 641800
X 639300  Y 663600
X 662400  Y 663600
X 662400  Y 685600
X 640600  Y 710600
X 629600  Y 704800
X 621400  Y 726600
X 614600  Y 710600
X 614400  Y 737800
X 562300  Y 703900
X 547100  Y 721900
X 539100  Y 706300
X 401600  Y 737200
X 396800  Y 731000
X 360700  Y 717200
X 332200  Y 719600
X 332200  Y 700500
X 317400  Y 730100
X 317400  Y 710100
X 256900  Y 719900
X 256900  Y 700500
X 240500  Y 710200
X 240200  Y 730000
X 240300  Y 750600
X 257200  Y 739800
X 257200  Y 760000
X 276600  Y 750600
X 296900  Y 759900
X 317200  Y 750300
X 331900  Y 759700
X 332000  Y 739500
X 396800  Y 743100
X 566300  Y 739900

Drill: .035  Tool: 3  Feed: 197  Speed: 550
X 119685  Y 155118
X 129685  Y 155118
X 139685  Y 155118
X 149685  Y 155118
X 159685  Y 155118
X 169685  Y 155118
X 179685  Y 155118
X 189685  Y 155118
X 199685  Y 155118
X 209685  Y 155118
X 219685  Y 155118
X 229685  Y 155118
X 239685  Y 155118
X 249685  Y 155118
X 259685  Y 155118
X 269685  Y 155118
X 279685  Y 155118
X 289685  Y 155118
X 299685  Y 155118
X 309685  Y 155118
X 319685  Y 155118
X 329685  Y 155118
X 339685  Y 155118
X 349685  Y 155118
X 359685  Y 155118
X 369685  Y 155118
X 379685  Y 155118
X 389685  Y 155118
X 399685  Y 155118
X 409685  Y 155118
X 419685  Y 155118
X 429685  Y 155118
X 439685  Y 155118
X 449685  Y 155118
X 459685  Y 155118
X 469685  Y 155118
X 479685  Y 155118
X 489685  Y 155118
X 499685  Y 155118
X 509685  Y 155118
X 509685  Y 165118
X 509685  Y 175118
X 499685  Y 165118
X 499685  Y 175118
X 489685  Y 165118
X 489685  Y 175118
X 479685  Y 165118
X 479685  Y 175118
X 469685  Y 165118
X 469685  Y 175118
X 459685  Y 165118
X 459685  Y 175118
X 449685  Y 165118
X 449685  Y 175118
X 439685  Y 165118
X 439685  Y 175118
X 429685  Y 165118
X 429685  Y 175118
X 419685  Y 165118
X 419685  Y 175118
X 409685  Y 165118
X 409685  Y 175118
X 399685  Y 165118
X 399685  Y 175118
X 389685  Y 165118
X 389685  Y 175118
X 379685  Y 165118
X 379685  Y 175118
X 369685  Y 175118
X 369685  Y 165118
X 359685  Y 175118
X 359685  Y 165118
X 349685  Y 175118
X 349685  Y 165118
X 339685  Y 175118
X 339685  Y 165118
X 329685  Y 175118
X 329685  Y 165118
X 319685  Y 175118
X 319685  Y 165118
X 309685  Y 175118
X 309685  Y 165118
X 299685  Y 175118
X 299685  Y 165118
X 289685  Y 175118
X 289685  Y 165118
X 279685  Y 175118
X 279685  Y 165118
X 269685  Y 175118
X 269685  Y 165118
X 259685  Y 175118
X 259685  Y 165118
X 249685  Y 175118
X 249685  Y 165118
X 239685  Y 165118
X 239685  Y 175118
X 229685  Y 175118
X 229685  Y 165118
X 219685  Y 165118
X 219685  Y 175118
X 209685  Y 175118
X 209685  Y 165118
X 199685  Y 165118
X 199685  Y 175118
X 189685  Y 175118
X 189685  Y 165118
X 179685  Y 175118
X 179685  Y 165118
X 169685  Y 175118
X 169685  Y 165118
X 159685  Y 175118
X 159685  Y 165118
X 149685  Y 175118
X 149685  Y 165118
X 139685  Y 175118
X 139685  Y 165118
X 129685  Y 175118
X 129685  Y 165118
X 119685  Y 165118
X 119685  Y 175118
X 119685  Y 479448
X 129685  Y 479448
X 139685  Y 479448
X 149685  Y 479448
X 159685  Y 479448
X 169685  Y 479448
X 179685  Y 479448
X 189685  Y 479448
X 199685  Y 479448
X 209685  Y 479448
X 219685  Y 479448
X 229685  Y 479448
X 239685  Y 479448
X 249685  Y 479448
X 259685  Y 479448
X 269685  Y 479448
X 279685  Y 479448
X 289685  Y 479448
X 299685  Y 479448
X 309685  Y 479448
X 319685  Y 479448
X 329685  Y 479448
X 339685  Y 479448
X 349685  Y 479448
X 359685  Y 479448
X 369685  Y 479448
X 379685  Y 479448
X 389685  Y 479448
X 399685  Y 479448
X 409685  Y 479448
X 419685  Y 479448
X 429685  Y 479448
X 439685  Y 479448
X 449685  Y 479448
X 459685  Y 479448
X 469685  Y 479448
X 479685  Y 479448
X 489685  Y 479448
X 499685  Y 479448
X 509685  Y 479448
X 509685  Y 489448
X 509685  Y 499448
X 499685  Y 489448
X 499685  Y 499448
X 489685  Y 489448
X 489685  Y 499448
X 479685  Y 489448
X 479685  Y 499448
X 469685  Y 489448
X 469685  Y 499448
X 459685  Y 489448
X 459685  Y 499448
X 449685  Y 489448
X 449685  Y 499448
X 439685  Y 489448
X 439685  Y 499448
X 429685  Y 489448
X 429685  Y 499448
X 419685  Y 489448
X 419685  Y 499448
X 409685  Y 489448
X 409685  Y 499448
X 399685  Y 489448
X 399685  Y 499448
X 389685  Y 489448
X 389685  Y 499448
X 379685  Y 489448
X 379685  Y 499448
X 369685  Y 499448
X 369685  Y 489448
X 359685  Y 499448
X 359685  Y 489448
X 349685  Y 499448
X 349685  Y 489448
X 339685  Y 499448
X 339685  Y 489448
X 329685  Y 499448
X 329685  Y 489448
X 319685  Y 499448
X 319685  Y 489448
X 309685  Y 499448
X 309685  Y 489448
X 299685  Y 499448
X 299685  Y 489448
X 289685  Y 499448
X 289685  Y 489448
X 279685  Y 499448
X 279685  Y 489448
X 269685  Y 499448
X 269685  Y 489448
X 259685  Y 499448
X 259685  Y 489448
X 249685  Y 499448
X 249685  Y 489448
X 239685  Y 489448
X 239685  Y 499448
X 229685  Y 499448
X 229685  Y 489448
X 219685  Y 489448
X 219685  Y 499448
X 209685  Y 499448
X 209685  Y 489448
X 199685  Y 489448
X 199685  Y 499448
X 189685  Y 499448
X 189685  Y 489448
X 179685  Y 499448
X 179685  Y 489448
X 169685  Y 499448
X 169685  Y 489448
X 159685  Y 499448
X 159685  Y 489448
X 149685  Y 499448
X 149685  Y 489448
X 139685  Y 499448
X 139685  Y 489448
X 129685  Y 499448
X 129685  Y 489448
X 119685  Y 489448
X 119685  Y 499448

Drill: .037  Tool: 4  Feed: 197  Speed: 550
X 122778  Y 536500
X 132621  Y 536500
X 495900  Y 588600
X 495900  Y 597100
